word,true_label,predicted_label,confidence
elliniko,Greek,Other,0.7478
pole,Germanic,Latin,0.7458
seersucker,Sanskrit,Germanic,0.7427
ketchup,Other,Germanic,0.7418
chow,Sanskrit,Germanic,0.7379
nip,Germanic,PIE,0.7286
dacha,Other,Sanskrit,0.7286
kallikantzaros,Greek,Other,0.7285
chamois,Latin,Greek,0.7258
vali,Other,Sanskrit,0.7235
anatomical,Latin,Greek,0.7205
geta,Other,Greek,0.7146
dilazak,Sanskrit,Other,0.714
pindar,Greek,Sanskrit,0.7118
gargle,Latin,Germanic,0.7111
capsicum,Sanskrit,Latin,0.7057
edifice,Germanic,Latin,0.7028
narcissist,Greek,Latin,0.7
ukha,Other,Sanskrit,0.6995
reis,Other,Greek,0.6987
brief,Latin,Germanic,0.696
thread,Germanic,PIE,0.6948
ziarat,Sanskrit,Other,0.6923
parable,Greek,Latin,0.6922
irenarch,Latin,Greek,0.6912
dirt,Germanic,Latin,0.6909
guide,Latin,Germanic,0.6908
polygony,Latin,Greek,0.6905
mushaira,Sanskrit,Other,0.6891
rahu,Sanskrit,Other,0.6858
cinder,Germanic,Latin,0.6856
soapland,Other,Germanic,0.6843
chazzer,Germanic,Other,0.6828
camphor,Sanskrit,Greek,0.6826
kalarippayattu,Other,Sanskrit,0.6826
heder,Other,Germanic,0.682
hibernal,Latin,PIE,0.6813
slaughter,Germanic,PIE,0.6812
skene,Greek,Germanic,0.6807
farthingale,Latin,Germanic,0.679
edessa,Greek,Other,0.6742
chervonets,Other,Greek,0.6711
rebetiko,Greek,Other,0.6704
korea,Other,Greek,0.6699
shunga,Other,Sanskrit,0.6682
dynast,Latin,Greek,0.6672
clade,Greek,Latin,0.6643
shampoo,Sanskrit,Other,0.6629
lilith,Other,Germanic,0.6609
wage,Latin,Germanic,0.6601
zamindar,Sanskrit,Other,0.6592
suraj,Sanskrit,Other,0.6574
sasse,Germanic,Latin,0.6487
venkateswara,Sanskrit,Other,0.6484
utter,Germanic,Latin,0.6448
yogic,Sanskrit,Greek,0.6443
brae,Germanic,Latin,0.641
league,Latin,Germanic,0.6399
gein,Greek,PIE,0.6381
lanthanum,Greek,Sanskrit,0.6354
budget,Latin,Germanic,0.6351
badmash,Sanskrit,Other,0.6315
inmeat,Germanic,Latin,0.6276
rajab,Other,Sanskrit,0.6252
manita,Latin,Sanskrit,0.6211
canopy,Germanic,Greek,0.6211
idli,Sanskrit,Other,0.6153
jelick,Other,Germanic,0.6151
sunni,Other,Sanskrit,0.6151
force,Latin,Germanic,0.6142
triumph,Greek,Latin,0.6132
fruit,Latin,Germanic,0.6124
midst,PIE,Germanic,0.6117
fedayee,Other,Germanic,0.6108
ettle,Germanic,Latin,0.6067
move,Latin,Germanic,0.606
syringa,Greek,Sanskrit,0.6024
kundalini,Sanskrit,Other,0.6009
dismay,Germanic,Greek,0.6004
aula,Latin,Other,0.6001
cipher,Sanskrit,Greek,0.5991
maximilian,Germanic,Latin,0.5978
pilaf,Other,Sanskrit,0.5972
toddy,Sanskrit,Germanic,0.5969
harmony,Greek,Germanic,0.5951
opal,Sanskrit,Latin,0.5946
march,Germanic,Greek,0.5927
rive,Germanic,Latin,0.5897
cumin,Sanskrit,Latin,0.5866
membrane,Greek,Latin,0.5852
utada,Other,Sanskrit,0.5852
agrogorod,Other,Greek,0.5841
betee,Germanic,Sanskrit,0.5822
vav,Other,Sanskrit,0.581
patriot,Greek,Latin,0.5803
shrub,Other,Germanic,0.5802
sambo,Other,Sanskrit,0.578
soviet,Other,Latin,0.5773
parsa,Other,Sanskrit,0.5759
nullah,Sanskrit,Other,0.5712
tabla,Sanskrit,Other,0.571
sahib,Sanskrit,Other,0.5698
geisha,Other,Sanskrit,0.5695
catamaran,Sanskrit,Other,0.5685
red,Germanic,Latin,0.5679
shiva,Sanskrit,Other,0.5646
set,Germanic,Other,0.564
beirut,Other,Germanic,0.5635
cookie,Other,Germanic,0.5608
people,Latin,Greek,0.5598
lunar,PIE,Sanskrit,0.5597
tope,Sanskrit,Germanic,0.5577
laity,Latin,Germanic,0.557
perestroika,Other,Greek,0.5564
karyotype,Other,Greek,0.5544
host,Latin,Germanic,0.5542
tamarind,Sanskrit,Other,0.5505
criterion,Greek,Latin,0.5498
arrack,Other,Latin,0.5486
sintir,Other,Latin,0.5479
gherao,Sanskrit,Other,0.5476
transmit,PIE,Latin,0.5435
mummer,Latin,Germanic,0.5422
kalokagathia,Greek,Other,0.5387
ideolog,Latin,Greek,0.5348
salagrama,Sanskrit,Greek,0.5346
sobornost,Other,Germanic,0.5319
mooch,Germanic,Other,0.5315
chamber,Latin,Sanskrit,0.5312
calculate,Latin,Sanskrit,0.5306
magus,Latin,Greek,0.5285
chela,Latin,Sanskrit,0.5254
scatch,Latin,Germanic,0.5238
levi,Other,Sanskrit,0.5227
public,Latin,Greek,0.5212
keg,Germanic,Other,0.5211
jute,Sanskrit,Germanic,0.5204
padishah,Other,Sanskrit,0.5197
biwa,Other,Sanskrit,0.5166
garden,Latin,Germanic,0.5161
shish,Other,Germanic,0.5141
corundum,Sanskrit,Latin,0.5128
utile,Latin,Germanic,0.5111
idol,Greek,Other,0.5099
livre,Latin,Germanic,0.507
tepe,Other,Greek,0.5064
emerge,Latin,Greek,0.5054
lade,Germanic,Latin,0.504
arunim,Sanskrit,Other,0.5021
cummerbund,Sanskrit,Germanic,0.5012
aidenn,Other,Latin,0.4992
frizz,Germanic,Other,0.4984
pedal,PIE,Sanskrit,0.498
gemutlich,Germanic,Other,0.4979
selene,Greek,Germanic,0.4978
baklahorani,Greek,Sanskrit,0.4975
punch,Sanskrit,Latin,0.4968
domineer,Germanic,Latin,0.4959
enif,Other,Latin,0.4937
jaflong,Sanskrit,Germanic,0.4933
juvenile,PIE,Latin,0.4916
sugar,Sanskrit,Other,0.4876
chief,Latin,Germanic,0.4876
stage,Latin,Germanic,0.4874
chapter,Latin,Greek,0.4861
sapphire,Sanskrit,Greek,0.4813
root,Germanic,Sanskrit,0.4812
bundt,Germanic,Sanskrit,0.4775
polnoglasie,Other,Greek,0.4774
sawm,Other,Germanic,0.4769
champion,Latin,Sanskrit,0.4755
bulb,Latin,Germanic,0.474
kirill,Greek,Germanic,0.4733
edge,Germanic,Latin,0.4729
mitre,Greek,Latin,0.4723
hector,Greek,Latin,0.4701
somen,Other,Germanic,0.4688
oita,Other,Sanskrit,0.4655
effendi,Other,Latin,0.4653
animal,Latin,Other,0.4648
golubtsy,Other,Latin,0.4635
causeway,Germanic,Latin,0.4623
lepidote,Greek,Latin,0.4618
answer,Latin,Germanic,0.4594
potiphar,Other,Greek,0.4587
leopard,Sanskrit,Latin,0.4584
cotton,Sanskrit,Latin,0.4565
gorilla,Greek,Sanskrit,0.4559
oracle,Greek,Latin,0.4545
beauty,Latin,Germanic,0.4524
senile,PIE,Germanic,0.4491
devshirme,Other,Latin,0.4483
falcon,Germanic,Latin,0.4472
thobe,Other,Greek,0.4462
ithaca,Greek,Other,0.4461
abydocomist,Greek,Other,0.4441
tath,Germanic,Other,0.4435
andrew,Greek,Germanic,0.4422
mussulman,Other,Latin,0.4412
scala,Latin,Sanskrit,0.4411
syllable,Greek,Latin,0.4395
fatha,Other,Sanskrit,0.4384
bulbul,Other,Germanic,0.4381
goose,Germanic,Sanskrit,0.4376
slim,Germanic,Other,0.4307
xenial,Greek,PIE,0.4259
sit,Germanic,Sanskrit,0.4259
enyo,Greek,Other,0.4249
becharm,Germanic,Latin,0.4217
puree,Sanskrit,Latin,0.4214
macher,Germanic,Other,0.4184
janitor,Latin,Other,0.4168
axle,PIE,Greek,0.4164
glory,Latin,Germanic,0.4163
farblondjet,Germanic,Other,0.413
min,Germanic,Other,0.4127
slavianstvo,Other,Latin,0.4113
halva,Germanic,Sanskrit,0.4086
seven,PIE,Latin,0.4068
larynx,Greek,Latin,0.4054
miracle,Greek,Latin,0.4047
cutchery,Sanskrit,Latin,0.4016
collin,Greek,Latin,0.4012
touch,Latin,Other,0.397
litany,Greek,Latin,0.3941
cardiac,PIE,Latin,0.3866
rich,Latin,Other,0.3831
hunger,Germanic,Sanskrit,0.3828
cigar,Other,Latin,0.3828
topi,Sanskrit,Other,0.3823
assafoetida,Latin,Greek,0.3808
neginoth,Other,Germanic,0.3775
eliel,Other,Greek,0.3736
chimera,Greek,Sanskrit,0.3736
fucoid,Greek,Latin,0.3727
capstan,Latin,Greek,0.3723
sum,Germanic,Latin,0.3704
kemenche,Other,Germanic,0.3649
omertà,Latin,Other,0.3644
solid,Latin,Other,0.3636
nephew,PIE,Greek,0.3605
ganglion,Greek,Sanskrit,0.3595
dolsot,Other,Germanic,0.3595
acrobat,Greek,Latin,0.3584
ethelbert,Germanic,Greek,0.3548
fin,Germanic,PIE,0.3539
dolmus,Other,Greek,0.3525
neon,Greek,Other,0.3505
apparatchik,Other,Latin,0.35
treachery,Germanic,Greek,0.3477
bacon,Germanic,Greek,0.3466
divan,Sanskrit,PIE,0.3426
alderamin,Other,Latin,0.3412
pan,Greek,Sanskrit,0.3405
toxin,Latin,Greek,0.338
turmeric,Sanskrit,Latin,0.3366
dewan,Sanskrit,Germanic,0.3361
thule,Greek,Germanic,0.3353
cheder,Other,Latin,0.3332
turn,Germanic,Other,0.3315
dawn,PIE,Sanskrit,0.3301
save,Latin,Germanic,0.329
gyrfalcon,Latin,Germanic,0.322
durbar,Sanskrit,Other,0.3201
reem,Other,Latin,0.3161
kitten,Germanic,Other,0.3159
sin,Germanic,PIE,0.3122
chaldean,Greek,Germanic,0.3022
total,Latin,Other,0.2962
chess,Sanskrit,Greek,0.2838
saidpur,Sanskrit,Other,0.2837
soothsayer,Germanic,Other,0.2799
chillum,Sanskrit,Germanic,0.273
umstrid,Germanic,Latin,0.2548
vedic,Sanskrit,Greek,0.253
